1.39 -11.1339 -14.7874 24.7991
1.4 -11.4903 -14.9533 25.6418
1.41 -11.8242 -15.027 26.5213
1.42 -12.1285 -14.9999 27.4217
1.43 -12.3961 -14.8657 28.3253
1.44 -12.6202 -14.6216 29.2121
1.45 -12.7944 -14.2684 30.0614
1.46 -12.9133 -13.8111 30.8523
1.47 -12.9728 -13.2593 31.5652
1.48 -12.97 -12.626 32.1828
1.49 -12.9039 -11.9277 32.6908
1.5 -12.7753 -11.1834 33.079
1.51 -12.5867 -10.4131 33.3418
1.52 -12.3423 -9.63704 33.4779
1.53 -12.0478 -8.87427 33.4905
1.54 -11.71 -8.14188 33.3863
1.55 -11.3368 -7.45424 33.1752
1.56 -10.9363 -6.82259 32.869
1.57 -10.5168 -6.25494 32.4807
1.58 -10.0866 -5.75618 32.0237
1.59 -9.65323 -5.32838 31.5113
1.6 -9.22383 -4.97128 30.9557
1.61 -8.80466 -4.68273 30.3682
1.62 -8.4011 -4.45926 29.7588
1.63 -8.01764 -4.29646 29.1362
1.64 -7.65793 -4.18947 28.5076
1.65 -7.32476 -4.13326 27.8792
1.66 -7.0202 -4.1229 27.256
1.67 -6.74567 -4.15378 26.6422
1.68 -6.50203 -4.22169 26.0413
1.69 -6.28967 -4.32291 25.456
1.7 -6.10864 -4.45428 24.8887
1.71 -5.95868 -4.61314 24.3416
1.72 -5.83935 -4.79737 23.8163
1.73 -5.75007 -5.00532 23.3146
1.74 -5.69017 -5.23575 22.8382
1.75 -5.65895 -5.48781 22.3885
1.76 -5.65571 -5.76096 21.9673
1.77 -5.67979 -6.05492 21.5762
1.78 -5.73054 -6.36956 21.2173
1.79 -5.80741 -6.70491 20.8925
1.8 -5.90988 -7.061 20.604
1.81 -6.03749 -7.43787 20.3543
1.82 -6.18982 -7.8354 20.1461
1.83 -6.36647 -8.2533 19.9823
1.84 -6.56705 -8.69097 19.8659
1.85 -6.7911 -9.1474 19.8005
1.86 -7.03812 -9.62109 19.7895
1.87 -7.30745 -10.1099 19.8367
1.88 -7.59829 -10.6108 19.9459
1.89 -7.90956 -11.1202 20.1207
1.9 -8.2399 -11.6331 20.3648
1.91 -8.58754 -12.1436 20.6811
1.92 -8.95029 -12.6446 21.0724
1.93 -9.3254 -13.1278 21.5401
1.94 -9.70955 -13.5835 22.0847
1.95 -10.0988 -14.0011 22.7049
1.96 -10.4884 -14.369 23.3975
1.97 -10.873 -14.6751 24.1569
1.98 -11.2467 -14.9072 24.9751
1.99 -11.6028 -15.0536 25.8409
2 -11.9344 -15.1039 26.7405
2.01 -12.2343 -15.0498 27.6574
2.02 -12.4952 -14.8855 28.5725
2.03 -12.7101 -14.6089 29.4654
2.04 -12.873 -14.2221 30.3146
2.05 -12.9784 -13.7314 31.0992
2.06 -13.0225 -13.1473 31.7994
2.07 -13.0029 -12.4843 32.3983
2.08 -12.9189 -11.7601 32.8823
2.09 -12.7718 -10.9945 33.2424
2.1 -12.5647 -10.2081 33.4738
2.11 -12.3023 -9.42141 33.5768
2.12 -11.9908 -8.65352 33.5556
2.13 -11.6375 -7.92115 33.4182
2.14 -11.2503 -7.23809 33.1753
2.15 -10.8379 -6.61486 32.8395
2.16 -10.4085 -6.05865 32.4244
2.17 -9.97055 -5.57352 31.9437
2.18 -9.53158 -5.16079 31.4105
2.19 -9.09858 -4.8195 30.8374
2.2 -8.67765 -4.54694 30.2352
2.21 -8.27402 -4.33917 29.6138
2.22 -7.89196 -4.19144 28.9816
2.23 -7.53491 -4.09868 28.3454
2.24 -7.20546 -4.05571 27.7113
2.25 -6.90547 -4.05756 27.0839
2.26 -6.63619 -4.09961 26.4673
2.27 -6.39831 -4.1777 25.8645
2.28 -6.19209 -4.28821 25.2784
2.29 -6.01746 -4.42806 24.711
2.3 -5.87406 -4.59471 24.1645
2.31 -5.76139 -4.78617 23.6404
2.32 -5.67879 -5.0009 23.1405
2.33 -5.62557 -5.23777 22.6662
2.34 -5.60099 -5.49606 22.2192
2.35 -5.60435 -5.77531 21.8012
2.36 -5.63497 -6.07532 21.4138
2.37 -5.69223 -6.39608 21.0589
2.38 -5.77556 -6.73764 20.7387
2.39 -5.88448 -7.10011 20.4554
2.4 -6.01855 -7.48356 20.2115
2.41 -6.17736 -7.88789 20.0097
2.42 -6.36053 -8.31283 19.8531
2.43 -6.56768 -8.75774 19.7448
2.44 -6.79839 -9.22159 19.6883
2.45 -7.05214 -9.7028 19.6873
2.46 -7.32828 -10.1991 19.7456
2.47 -7.62598 -10.7075 19.8671
2.48 -7.94416 -11.2239 20.0555
2.49 -8.2814 -11.7434 20.3145
2.5 -8.63587 -12.2597 20.6472
2.51 -9.00531 -12.7654 21.0562
2.52 -9.38685 -13.2519 21.5429
2.53 -9.77705 -13.7091 22.1077
2.54 -10.1718 -14.1261 22.7489
2.55 -10.5662 -14.4908 23.4632
2.56 -10.9547 -14.7908 24.2445
2.57 -11.3312 -15.0136 25.0841
2.58 -11.6889 -15.1475 25.9703
2.59 -12.0205 -15.182 26.8886
2.6 -12.3187 -15.1088 27.8214
2.61 -12.5761 -14.9227 28.7493
2.62 -12.7858 -14.622 29.6509
2.63 -12.9414 -14.2097 30.5044
2.64 -13.0379 -13.6928 31.2882
2.65 -13.0714 -13.083 31.9828
2.66 -13.0398 -12.3957 32.5713
2.67 -12.9428 -11.6495 33.0405
2.68 -12.782 -10.865 33.382
2.69 -12.5608 -10.0634 33.5921
2.7 -12.2845 -9.2656 33.6718
2.71 -11.9595 -8.49063 33.6262
2.72 -11.5934 -7.7551 33.4643
2.73 -11.1947 -7.07245 33.1976
2.74 -10.7719 -6.45271 32.8392
2.75 -10.3337 -5.90251 32.4032
2.76 -9.88831 -5.42531 31.9035
2.77 -9.44351 -5.02186 31.3535
2.78 -9.00615 -4.69068 30.7656
2.79 -8.58227 -4.42862 30.1508
2.8 -8.17696 -4.23135 29.5187
2.81 -7.79438 -4.09388 28.8774
2.82 -7.43781 -4.01091 28.2338
2.83 -7.10969 -3.97715 27.5935
2.84 -6.81177 -3.98755 26.9611
2.85 -6.54512 -4.03746 26.3405
2.86 -6.31035 -4.12275 25.7345
2.87 -6.10759 -4.23982 25.1459
2.88 -5.93669 -4.38567 24.5767
2.89 -5.79722 -4.55784 24.0288
2.9 -5.6886 -4.7544 23.5038
2.91 -5.61014 -4.97389 23.0033
2.92 -5.5611 -5.21529 22.5288
2.93 -5.54073 -5.47793 22.0819
2.94 -5.5483 -5.76146 21.6643
2.95 -5.58314 -6.06574 21.2776
2.96 -5.64463 -6.39082 20.9238
2.97 -5.73221 -6.73683 20.6049
2.98 -5.8454 -7.10394 20.3232
2.99 -5.98378 -7.49224 20.0814
3 -6.14697 -7.90171 19.8821
3.01 -6.33461 -8.33208 19.7284
3.02 -6.54634 -8.78275 19.6236
3.03 -6.78175 -9.25269 19.5713
3.04 -7.04035 -9.74029 19.5751
3.05 -7.3215 -10.2433 19.6391
3.06 -7.62439 -10.7585 19.7671
3.07 -7.94791 -11.282 19.9631
3.08 -8.29066 -11.8085 20.2308
3.09 -8.65079 -12.3317 20.5734
3.1 -9.02598 -12.844 20.9935
3.11 -9.41334 -13.3365 21.4927
3.12 -9.80932 -13.7988 22.0713
3.13 -10.2097 -14.2197 22.7276
3.14 -10.6095 -14.5868 23.4581
3.15 -11.0031 -14.8874 24.2564
3.16 -11.3842 -15.1087 25.1136
3.17 -11.7456 -15.2385 26.0176
3.18 -12.0802 -15.2664 26.9533
3.19 -12.3803 -15.1838 27.9027
3.2 -12.6385 -14.9856 28.8456
3.21 -12.8475 -14.6706 29.7601
3.22 -13.0011 -14.2418 30.6237
3.23 -13.0941 -13.7069 31.4146
3.24 -13.1227 -13.0782 32.1128
3.25 -13.0848 -12.3719 32.7012
3.26 -12.9804 -11.6073 33.1668
3.27 -12.8112 -10.8057 33.5014
3.28 -12.5808 -9.98889 33.7018
